Zeit(ms)	Ueberdruck(kPa)
0,000	0,000
0,001	0,000
0,003	0,000
0,004	0,000
0,006	0,000
0,007	0,000
0,009	0,000
0,010	0,000
0,011	0,000
0,013	0,000
0,014	0,000
0,015	0,000
0,016	0,000
0,017	0,000
0,018	0,000
0,020	0,000
0,021	0,000
0,022	0,000
0,023	0,000
0,024	0,000
0,025	0,000
0,027	0,000
0,028	0,000
0,029	0,000
0,030	0,000
0,031	0,000
0,033	0,000
0,034	0,000
0,035	0,000
0,036	0,000
0,037	0,000
0,039	0,000
0,040	0,000
0,043	0,000
0,046	0,000
0,048	0,000
0,051	0,000
0,054	0,000
0,056	0,000
0,059	0,000
0,062	0,000
0,065	0,000
0,068	0,000
0,071	0,000
0,074	0,000
0,077	0,000
0,080	0,000
0,083	0,000
0,086	0,000
0,090	0,000
0,093	0,000
0,096	0,000
0,099	0,000
0,103	0,000
0,107	0,000
0,114	0,000
0,121	0,000
0,129	0,000
0,136	0,000
0,144	0,000
0,152	0,000
0,160	0,000
0,168	0,000
0,177	0,000
0,185	0,000
0,194	0,000
0,203	0,000
0,212	0,000
0,222	0,000
0,232	0,000
0,241	0,000
0,251	0,000
0,262	0,000
0,272	0,000
0,283	0,000
0,293	0,000
0,416	0,000
0,449	0,000
0,485	0,000
0,524	0,000
0,565	0,000
0,607	0,000
0,648	0,000
0,686	0,000
0,722	0,000
0,757	0,000
0,791	0,000
0,826	0,000
0,861	0,000
0,898	0,000
0,973	0,000
1,057	0,000
1,136	0,000
1,215	0,000
1,297	0,000
1,376	0,000
1,456	0,000
1,539	0,000
1,624	0,000
1,711	0,000
1,800	0,000
1,892	0,000
1,989	0,000
2,092	0,000
2,198	0,000
2,301	0,000
2,403	0,000
2,506	0,350
2,609	28,500
2,713	340,650
2,818	571,960
2,920	516,640
3,023	580,630
3,128	725,680
3,234	638,900
3,340	475,530
3,448	366,520
3,558	289,000
3,671	231,520
3,787	187,040
3,906	150,980
4,029	120,740
4,155	94,900
4,281	73,490
4,403	56,060
4,524	41,520
4,645	29,040
4,769	18,000
4,899	8,060
5,031	-0,690
5,160	-8,163
5,287	-14,674
5,413	-20,208
5,539	28,090
5,666	176,250
5,795	158,220
5,925	130,600
6,054	107,380
6,183	87,840
6,313	70,680
6,443	55,630
6,567	42,980
6,689	32,100
6,812	22,480
6,936	13,880
7,062	6,100
7,190	-0,920
7,321	-7,300
7,454	-13,091
7,589	-18,350
7,725	-23,102
7,862	-27,402
8,001	-31,311
8,138	-34,806
8,274	-37,925
8,412	-40,780
8,552	-43,406
8,695	-45,809
8,836	-47,949
8,975	-49,828
9,112	-51,469
9,248	-53,211
9,382	-43,264
9,514	58,980
9,646	87,960
9,778	78,760
9,910	67,410
10,043	56,150
10,178	45,350
10,314	35,370
10,451	26,700
10,588	19,510
10,726	12,890
10,864	6,600
11,001	0,800
11,140	-4,500
11,278	-9,432
11,415	-14,040
11,550	-18,364
11,684	-22,287
11,817	-25,811
11,948	-28,950
12,078	-31,741
12,206	-34,304
12,334	-36,676
12,462	-38,932
12,589	-41,128
12,715	-43,324
12,842	-45,229
12,967	-46,673
13,093	-47,561
13,217	-47,698
13,341	-46,840
13,465	-44,936
13,587	-41,012
13,709	-28,513
13,831	-10,300
13,952	-5,987
14,072	-5,145
14,194	-5,730
14,318	-7,110
14,447	-8,283
14,580	-9,029
14,716	-6,285
14,851	1,140
14,985	10,520
15,119	17,560
15,252	20,690
15,387	21,600
15,523	20,790
15,662	19,160
15,806	17,650
15,953	17,180
16,102	18,670
16,253	22,800
16,403	24,600
16,549	24,110
16,689	22,340
16,824	19,360
16,959	15,240
17,086	11,180
17,214	7,130
17,346	3,150
17,483	-0,610
17,621	-3,761
17,753	-6,045
17,883	-7,516
18,015	-8,477
18,153	-9,340
18,301	-10,457
18,449	-11,703
18,598	-12,784
18,747	-14,726
18,895	-17,455
19,041	-20,416
19,186	-23,645
19,335	-27,077
19,488	-30,628
19,642	-34,050
19,799	-37,284
19,956	-40,235
20,113	-42,867
20,267	-45,126
20,418	-46,987
20,567	-48,491
20,716	-49,650
20,863	-50,463
21,008	-50,993
21,153	-51,192
21,299	-51,082
21,443	-50,623
21,587	-49,906
21,731	-49,201
21,876	-48,842
22,022	-48,865
22,170	-46,635
22,320	-24,960
22,472	-11,601
22,626	-10,523
22,781	-9,954
22,937	-3,274
23,093	8,690
23,249	8,990
23,405	6,330
23,561	3,720
23,718	1,430
23,875	-1,413
24,033	-5,147
24,190	-9,145
24,347	-13,319
24,507	-17,469
24,667	-21,144
24,828	-24,281
24,990	-26,804
25,149	-28,704
25,308	-29,948
25,470	-30,660
25,633	-30,926
25,796	-30,694
25,960	-29,333
26,126	-25,641
26,293	-17,297
26,456	-0,590
26,616	51,870
26,776	54,690
26,935	47,820
27,097	37,780
27,258	31,870
27,420	27,090
27,581	22,820
27,743	18,270
27,904	13,490
28,064	8,740
28,223	3,650
28,382	-1,415
28,541	-6,208
28,700	-10,141
28,859	-12,481
29,018	-13,210
29,177	-12,286
29,336	-11,354
29,497	-12,052
29,663	-14,855
29,832	-19,412
